院校名,类别,分数
上海商学院,物理类|本科批|普通类,最低分/最低位次：543/79447
天津商业大学,物理类|本科批|普通类,最低分/最低位次：527/101702
海南热带海洋学院,物理类|本科批|普通类,最低分/最低位次：503/138533
琼台师范学院,物理类|本科批|普通类,最低分/最低位次：503/138545
南昌大学,物理类|本科批|普通类,最低分/最低位次：559/59564
浙江理工大学,物理类|本科批|普通类,最低分/最低位次：559/59476
江西师范大学,物理类|本科批|普通类,最低分/最低位次：559/59289
天津师范大学,物理类|本科批|普通类,最低分/最低位次：559/59863
河北师范大学,物理类|本科批|普通类,最低分/最低位次：559/59868
南通大学,物理类|本科批|普通类,最低分/最低位次：559/59590
湖北中医药大学,物理类|本科批|普通类,最低分/最低位次：559/60078
浙江传媒学院,物理类|本科批|普通类,最低分/最低位次：559/60127
广州大学,物理类|本科批|普通类,最低分/最低位次：558/61445
广东工业大学,物理类|本科批|普通类,最低分/最低位次：558/61021
南京林业大学,物理类|本科批|普通类,最低分/最低位次：558/61479
内蒙古大学,物理类|本科批|普通类,最低分/最低位次：558/61236
内蒙古大学,物理类|本科批|普通类,最低分/最低位次：558/60735
安徽医科大学,物理类|本科批|普通类,最低分/最低位次：558/60407
武汉工程大学,物理类|本科批|普通类,最低分/最低位次：558/61476
浙江中医药大学,物理类|本科批|普通类,最低分/最低位次：558/60419
集美大学,物理类|本科批|普通类,最低分/最低位次：558/60659
海南师范大学,物理类|本科批|普通类,最低分/最低位次：558/60537
海南师范大学,物理类|本科批|普通类,最低分/最低位次：558/60436
东莞理工学院,物理类|本科批|普通类,最低分/最低位次：558/60746
西安石油大学,物理类|本科批|普通类,最低分/最低位次：558/60550
西安外国语大学,物理类|本科批|普通类,最低分/最低位次：558/60672
贵州医科大学,物理类|本科批|普通类,最低分/最低位次：558/61414
杭州医学院,物理类|本科批|普通类,最低分/最低位次：558/60944
深圳技术大学,物理类|本科批|普通类,最低分/最低位次：558/61160
福建师范大学,物理类|本科批|普通类,最低分/最低位次：557/61874
广州大学,物理类|本科批|普通类,最低分/最低位次：557/61652
山西大学,物理类|本科批|普通类,最低分/最低位次：557/61765
广东外语外贸大学,物理类|本科批|普通类,最低分/最低位次：557/62243
上海海事大学,物理类|本科批|普通类,最低分/最低位次：557/61798
河北师范大学,物理类|本科批|普通类,最低分/最低位次：557/62472
桂林电子科技大学,物理类|本科批|普通类,最低分/最低位次：557/61751
河南财经政法大学,物理类|本科批|普通类,最低分/最低位次：557/62570
上海立信会计金融学院,物理类|本科批|普通类,最低分/最低位次：557/62446
贵州中医药大学,物理类|本科批|普通类,最低分/最低位次：557/62303
深圳技术大学,物理类|本科批|普通类,最低分/最低位次：557/61641
燕山大学,物理类|本科批|普通类,最低分/最低位次：556/63736
山西大学,物理类|本科批|普通类,最低分/最低位次：556/63322
长沙理工大学,物理类|本科批|普通类,最低分/最低位次：556/62821
汕头大学,物理类|本科批|普通类,最低分/最低位次：556/63541
上海应用技术大学,物理类|本科批|普通类,最低分/最低位次：556/62674
江西中医药大学,物理类|本科批|普通类,最低分/最低位次：556/63596
大连外国语大学,物理类|本科批|普通类,最低分/最低位次：556/63664
江西科技师范大学,物理类|本科批|普通类,最低分/最低位次：556/63763
天津外国语大学,物理类|本科批|普通类,最低分/最低位次：556/63327
天津外国语大学,物理类|本科批|普通类,最低分/最低位次：556/62879
山东科技大学,物理类|本科批|普通类,最低分/最低位次：555/64814
浙江工商大学,物理类|本科批|普通类,最低分/最低位次：555/64266
河南科技大学,物理类|本科批|普通类,最低分/最低位次：555/64651
广东外语外贸大学,物理类|本科批|普通类,最低分/最低位次：555/63950
河北师范大学,物理类|本科批|普通类,最低分/最低位次：555/63915
湖南农业大学,物理类|本科批|普通类,最低分/最低位次：555/64223
北京工商大学,物理类|本科批|普通类,最低分/最低位次：555/64202
山西医科大学,物理类|本科批|普通类,最低分/最低位次：555/64185
青海大学,物理类|本科批|普通类,最低分/最低位次：555/64829
石家庄铁道大学,物理类|本科批|普通类,最低分/最低位次：555/64849
四川师范大学,物理类|本科批|普通类,最低分/最低位次：555/63992
成都中医药大学,物理类|本科批|普通类,最低分/最低位次：555/63831
海南师范大学,物理类|本科批|普通类,最低分/最低位次：555/64636
佛山科学技术学院,物理类|本科批|普通类,最低分/最低位次：555/64170
湖北师范大学,物理类|本科批|普通类,最低分/最低位次：555/64647
遵义医科大学,物理类|本科批|普通类,最低分/最低位次：555/64975
中国石油大学（北京）克拉玛依校区,物理类|本科批|普通类,最低分/最低位次：555/64937
广东工业大学,物理类|本科批|普通类,最低分/最低位次：554/65738
武汉科技大学,物理类|本科批|普通类,最低分/最低位次：554/65276
长沙理工大学,物理类|本科批|普通类,最低分/最低位次：554/65729
汕头大学,物理类|本科批|普通类,最低分/最低位次：554/65052
汕头大学,物理类|本科批|普通类,最低分/最低位次：554/65510
济南大学,物理类|本科批|普通类,最低分/最低位次：554/65249
广西师范大学,物理类|本科批|普通类,最低分/最低位次：554/65033
湖南科技大学,物理类|本科批|普通类,最低分/最低位次：554/65199
四川师范大学,物理类|本科批|普通类,最低分/最低位次：554/66231
重庆师范大学,物理类|本科批|普通类,最低分/最低位次：554/65830
苏州科技大学,物理类|本科批|普通类,最低分/最低位次：554/66098
大连外国语大学,物理类|本科批|普通类,最低分/最低位次：554/65757
